GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-SRSF2-P95_variants	avg-Others
ENSG00000110514	En	0.00679584250923	0.952422532302	0.980256783209	MADD	5.5704976819	5.56370183939
ENSG00000086015	En	0.113517866912	0.317872198253	0.703762314508	MAST2	3.50696460343	3.39344673652
ENSG00000211769	En	0.476602967261	0.0603970446078	0.319269212804	TRBJ2-5	2.00038353092	1.52378056366
ENSG00000211768	En	0.974423530367	0.000708097075593	0.0182709382495	TRBJ2-4	2.86181599294	1.88739246257
ENSG00000204228	En	-0.288958868046	0.00091951990219	0.0220428270064	HSD17B8	1.015706319	1.30466518704
ENSG00000211767	En	0.712707636595	0.0242613012581	0.187552469706	TRBJ2-3	3.89466077788	3.18195314129
ENSG00000211766	En	0.755992489809	0.0170582693392	0.149980735538	TRBJ2-2P	3.31672394407	2.56073145426
ENSG00000211765	En	0.775604354358	0.00633754779658	0.0795817231255	TRBJ2-2	2.5631469974	1.78754264304
ENSG00000211764	En	1.02736492683	0.0031067476567	0.0503369697245	TRBJ2-1	3.59241414601	2.56504921918
ENSG00000070770	En	0.259066366008	0.00542321447039	0.0724011036861	CSNK2A2	4.06563751183	3.80657114582
ENSG00000169740	En	-0.169142862546	0.127145639211	0.471355820878	ZNF32	4.0576327838	4.22677564634
ENSG00000215869	En	0.0582216161851	0.0346305813544	0.230475596973	RP11-364B6.1	0.324778383078	0.266556766893
ENSG00000169744	En	0.01988751825	0.759930295484	0.901654782864	LDB2	0.248127904646	0.228240386396
ENSG00000215864	En	-0.0233254253267	0.620749398601	0.856472214352	NBPF7	0.412384220926	0.435709646253
ENSG00000215867	En	-0.00104646143628	0.957657630299	0.982413160729	RP4-773A18.2	0.116019311257	0.117065772694
ENSG00000215860	En	0.126874087371	0.000403145963828	0.0125879620459	PDZK1P1	0.377071620027	0.250197532656
ENSG00000215861	En	-0.0494662360646	0.150229697018	0.512211482069	WI2-1896O14.1	0.0	0.0494662360646
ENSG00000215863	En	0.312055060024	0.0940181883531	0.406320658333	RP11-495P10.2	4.0804131893	3.76835812927
ENSG00000168298	En	0.343476374553	0.294202256169	0.681623548531	HIST1H1E	3.44640822719	3.10293185264
ENSG00000168297	En	-0.359506823898	0.0188170077317	0.159713503509	PXK	5.33976560369	5.69927242759
ENSG00000168291	En	-0.475467258893	2.76141951479e-05	0.00193848551969	PDHB	4.82263598549	5.29810324439
ENSG00000225108	En	-0.0454603270936	0.323020885117	0.707797585803	AC013268.2	0.0750929345094	0.120553261603
ENSG00000225109	En	0.0563848199756	0.0306534945103	0.215419135643	PAIP1P1	0.191629680533	0.135244860557
ENSG00000225100	En	-0.306118951423	0.0230774955865	0.181868700266	RP11-479O17.7	1.13043574412	1.43655469554
ENSG00000225101	En	-0.0836728707014	0.772009425304	0.903826390466	OR52K3P	1.58050749893	1.66418036963
ENSG00000225102	En	-0.00497394285408	0.410493209821	0.765230664414	RP11-456H18.1	0.0	0.00497394285408
ENSG00000225105	En	-0.000552639525949	0.95540898906	0.981530155869	RP11-165I9.6	0.0146394116693	0.0151920511952
ENSG00000225106	En	-0.00329944150243	0.649785888575	0.863135057475	RP11-429E11.2	0.0132367116397	0.0165361531422
ENSG00000226457	En	-0.147660850129	0.0229645191427	0.181101394778	RP11-430L17.1	0.500056848314	0.647717698443
ENSG00000226455	En	0.286459694795	9.72721503365e-06	0.000920437225926	RP3-512E2.2	0.551783686743	0.265323991948
ENSG00000149792	En	0.140898658061	0.1404992787	0.494013484081	MRPL49	4.61190577249	4.47100711443
ENSG00000226450	En	0.0406133145665	0.160804711228	0.528045375881	CYP2D8P1	0.384978701196	0.34436538663
ENSG00000141854	En	-0.0911106045564	0.0567602424809	0.308416822718	CTB-55O6.8	0.130180132015	0.221290736572
ENSG00000149798	En	-0.0987664028087	0.406902232033	0.763687475507	CDC42EP2	1.52870932761	1.62747573042
ENSG00000183055	En	-0.0029787466337	0.578566666726	0.842715095963	FAM133CP	0.00802022996726	0.010998976601
ENSG00000183054	En	0.598755522616	0.0127585849765	0.12316162738	RGPD6	3.48805237622	2.88929685361
ENSG00000181562	En	0.000294598504716	0.960239768821	0.983680886843	EDDM3A	0.0139053580302	0.0136107595254
ENSG00000250566	En	-0.000397178982544	0.821979899787	0.922280532445	UGT2B29P	0.000829237498457	0.001226416481
ENSG00000259244	En	0.524030417002	0.00621105925882	0.0786852485404	RP11-182J1.12	3.93673234537	3.41270192837
ENSG00000250565	En	0.0223603180343	0.854354812493	0.937398570443	ATP6V1E2	2.7245236672	2.70216334917
