GeneID	SystemCode	LogFold	rawp	adjp	Symbol	avg-HNRNPK-KD_variants	avg-Others
ENSG00000110514	En	-0.0450541406824	0.792629194776	0.970473585215	MADD	5.52047954463	5.56553368531
ENSG00000086015	En	0.128098707497	0.453938280226	0.970473585215	MAST2	3.52574811093	3.39764940344
ENSG00000211769	En	0.428191338309	0.262919484346	0.970473585215	TRBJ2-5	1.97290261703	1.54471127872
ENSG00000211768	En	0.35829623088	0.411384054682	0.970473585215	TRBJ2-4	2.30398229904	1.94568606816
ENSG00000204228	En	0.209586100969	0.112219493876	0.824445163196	HSD17B8	1.48749821531	1.27791211435
ENSG00000211767	En	0.189302492916	0.691837140626	0.970473585215	TRBJ2-3	3.41607326671	3.22677077379
ENSG00000211766	En	0.433723488823	0.36466358414	0.970473585215	TRBJ2-2P	3.03501310755	2.60128961873
ENSG00000211765	En	-0.00658014689143	0.987782335407	0.997697609715	TRBJ2-2	1.83610716871	1.8426873156
ENSG00000211764	En	0.369285704065	0.482424411657	0.970473585215	TRBJ2-1	2.99604976072	2.62676405665
ENSG00000070770	En	0.287956488751	0.0404414885356	0.589871564069	CSNK2A2	4.10425026166	3.8162937729
ENSG00000169740	En	-0.0354269020727	0.832099042071	0.970473585215	ZNF32	4.18042771293	4.215854615
ENSG00000215869	En	-0.0109219726432	0.792859079413	0.970473585215	RP11-364B6.1	0.260086847983	0.271008820626
ENSG00000169744	En	-0.029602323965	0.76243506751	0.970473585215	LDB2	0.200934250545	0.23053657451
ENSG00000215864	En	-0.0657832112624	0.353520514509	0.970473585215	NBPF7	0.370245656422	0.436028867685
ENSG00000215867	En	-0.0459249221275	0.12087981992	0.84156028204	RP4-773A18.2	0.0724432106371	0.118368132765
ENSG00000215860	En	0.105462711475	0.0520294655548	0.647379532069	PDZK1P1	0.361487591394	0.256024879919
ENSG00000215861	En	-0.047381984545	0.360136032482	0.970473585215	WI2-1896O14.1	0.0	0.047381984545
ENSG00000215863	En	-0.844171088855	0.00249673373884	0.125887608031	RP11-495P10.2	2.97159661409	3.81576770295
ENSG00000168298	En	0.019780386069	0.96800033159	0.994207610889	HIST1H1E	3.14645284223	3.12667245616
ENSG00000168297	En	-0.0279394146597	0.903789674117	0.979726242638	PXK	5.64670128579	5.67464070045
ENSG00000168291	En	0.230458947301	0.181556859609	0.919915777172	PDHB	5.48797037383	5.25751142653
ENSG00000225108	En	-0.0540724305294	0.434785803326	0.970473585215	AC013268.2	0.0648809079983	0.118953338528
ENSG00000225109	En	-0.00232996191179	0.952814892558	0.990314189033	PAIP1P1	0.136979298919	0.139309260831
ENSG00000225100	En	0.175104536631	0.389147480748	0.970473585215	RP11-479O17.7	1.58472396612	1.40961942949
ENSG00000225101	En	-0.3777762288	0.384400876179	0.970473585215	OR52K3P	1.29179935576	1.66957558456
ENSG00000225102	En	-0.00476436661023	0.600426151683	0.970473585215	RP11-456H18.1	0.0	0.00476436661023
ENSG00000225105	En	0.00972707752566	0.512936882908	0.970473585215	RP11-165I9.6	0.0245884298641	0.0148613523384
ENSG00000225106	En	0.00720099818321	0.510085668922	0.970473585215	RP11-429E11.2	0.023287569693	0.0160865715098
ENSG00000226457	En	-0.0310876984612	0.75118399065	0.970473585215	RP11-430L17.1	0.607100797202	0.638188495663
ENSG00000226455	En	-0.0719061784624	0.466392265458	0.970473585215	RP3-512E2.2	0.215867186858	0.287773365321
ENSG00000149792	En	0.0997946043291	0.488310852654	0.970473585215	MRPL49	4.57779252111	4.47799791678
ENSG00000226450	En	-0.130206487601	0.00267796366495	0.131339830863	CYP2D8P1	0.22093878334	0.351145270941
ENSG00000141854	En	-0.073515285598	0.307811923122	0.970473585215	CTB-55O6.8	0.14352420417	0.217039489768
ENSG00000149798	En	-0.172935089329	0.334413056111	0.970473585215	CDC42EP2	1.45272690679	1.62566199612
ENSG00000183055	En	-0.00717445883888	0.373757575665	0.970473585215	FAM133CP	0.00382852766603	0.0110029865049
ENSG00000183054	En	-0.638340402445	0.078269668354	0.749216372058	RGPD6	2.31250791714	2.95084831959
ENSG00000181562	En	0.00955679949651	0.282082681403	0.970473585215	EDDM3A	0.0229019861791	0.0133451866826
